county,state,state_encoded,total_non_english_speakers_18_64,foreign_born_population,spanish_speakers_total,spanish_eng_very_well,spanish_eng_well,spanish_eng_not_well,spanish_eng_not_at_all,indo_euro_speakers_total,indo_euro_eng_very_well,indo_euro_eng_well,indo_euro_eng_not_well,indo_euro_eng_not_at_all,asian_pac_speakers_total,asian_pac_eng_very_well,asian_pac_eng_well,asian_pac_eng_not_well,asian_pac_eng_not_at_all,other_lang_speakers_total,other_lang_eng_very_well,other_lang_eng_well,other_lang_eng_not_well,other_lang_eng_not_at_all,total_enrolled_in_school,enrolled_college_or_grad_school,median_household_income_usd
Lincoln County,Nevada,28,2583,43.0,128,128,0,0,0,32,25,7,0,0,0,0,0,0,0,24,24,0,0,0,833,62,67412
Lyon County,Nevada,28,28596,4155.0,4745,3364,795,504,82,520,456,39,25,0,362,271,28,13,50,161,161,0,0,0,12000,1698,70026
Mineral County,Nevada,28,1803,112.0,353,236,117,0,0,12,12,0,0,0,3,3,0,0,0,176,176,0,0,0,896,171,46625
Nye County,Nevada,28,23774,4002.0,2577,1375,617,511,74,444,430,14,0,0,455,235,75,90,55,30,25,0,5,0,7635,849,53602
Pershing County,Nevada,28,3344,717.0,946,683,141,94,28,7,7,0,0,0,60,48,12,0,0,39,39,0,0,0,1207,175,66304
Storey County,Nevada,28,1746,196.0,71,38,12,0,21,82,82,0,0,0,0,0,0,0,0,6,6,0,0,0,772,122,86932
Washoe County,Nevada,28,230816,69971.0,50530,31439,9764,7304,2023,6874,5054,1367,447,6,11747,8029,2624,947,147,1917,1346,427,144,0,113979,27358,81531
White Pine County,Nevada,28,4936,292.0,419,277,112,30,0,90,66,24,0,0,13,0,13,0,0,9,9,0,0,0,1801,134,71297
Carson City,Nevada,28,26150,7608.0,7000,4604,1559,740,97,582,386,111,85,0,721,427,257,37,0,130,77,27,26,0,11879,2209,67465
Belknap County,New Hampshire,29,36613,2071.0,265,213,23,29,0,719,604,93,22,0,278,167,93,18,0,24,23,1,0,0,11971,1525,80719
Carroll County,New Hampshire,29,27362,1287.0,309,293,16,0,0,426,392,14,17,3,36,27,9,0,0,31,13,18,0,0,8341,1186,77049
Cheshire County,New Hampshire,29,45155,2066.0,457,338,103,16,0,726,568,123,35,0,213,95,111,0,7,192,115,73,4,0,17339,5552,76551
Coos County,New Hampshire,29,17164,897.0,465,382,22,61,0,889,751,119,19,0,117,101,16,0,0,48,39,9,0,0,5002,839,55247
Grafton County,New Hampshire,29,52273,5274.0,673,540,54,79,0,1681,1530,99,51,1,1423,944,363,116,0,284,267,17,0,0,20007,7334,79949
Hillsborough County,New Hampshire,29,230668,42393.0,14991,7812,2688,2902,1589,14678,10591,2776,1210,101,6631,3937,1732,731,231,2463,1802,321,190,150,91692,17548,95112
Merrimack County,New Hampshire,29,90520,7344.0,1504,1257,152,95,0,2452,1534,560,291,67,1032,798,172,57,5,627,301,178,79,69,34112,7624,88806
Rockingham County,New Hampshire,29,182552,15548.0,4782,3551,892,299,40,4723,3992,562,169,0,2932,2065,772,81,14,1082,925,99,39,19,64955,10932,110225
Strafford County,New Hampshire,29,81411,5341.0,1139,871,149,107,12,1365,1016,301,32,16,2001,1311,523,167,0,485,384,101,0,0,33565,12676,83212
Sullivan County,New Hampshire,29,25016,1147.0,116,85,15,16,0,338,324,7,7,0,117,116,1,0,0,225,214,0,0,11,7786,1175,70788
Atlantic County,New Jersey,30,118027,43311.0,27650,14104,5548,5862,2136,11114,7179,2794,935,206,7174,3832,1698,1461,183,1375,633,659,83,0,65217,15126,73113
Bergen County,New Jersey,30,325345,299291.0,107889,68018,20153,14838,4880,63584,44874,13434,4506,770,73675,41290,19969,11684,732,15481,11506,3009,812,154,231194,47680,118714
Burlington County,New Jersey,30,242129,49384.0,16186,11124,2849,1515,698,14066,9571,3005,1010,480,9387,5270,2590,1235,292,3744,2880,701,163,0,107085,20744,102615
Camden County,New Jersey,30,248569,61711.0,44212,23026,9181,8937,3068,11916,8239,2554,1023,100,12825,6791,3181,2270,583,3198,2309,608,201,80,126664,22971,82005
Cape May County,New Jersey,30,46870,4534.0,3373,1673,1075,573,52,1353,1196,141,13,3,289,230,12,32,15,354,201,105,48,0,16968,2748,83870
Cumberland County,New Jersey,30,66118,16698.0,23320,11312,4319,5016,2673,2494,1305,885,302,2,698,258,290,139,11,405,270,85,47,3,37551,5665,62310
Essex County,New Jersey,30,321434,247376.0,113080,58206,21417,23737,9720,62587,35822,14789,9303,2673,15763,11161,3504,1062,36,21742,17720,3187,755,80,222531,45243,73785
Gloucester County,New Jersey,30,169238,17604.0,9936,6124,2128,1219,465,5407,4073,971,363,0,3462,2072,959,370,61,1186,776,305,93,12,76082,18871,99668
Hudson County,New Jersey,30,202994,304156.0,164330,89248,33898,29782,11402,57635,46046,7952,3276,361,38268,27912,7761,2338,257,18543,12187,3804,2304,248,157310,31973,86854
Hunterdon County,New Jersey,30,67434,13432.0,4495,2778,610,799,308,4860,4345,402,107,6,1846,1567,236,41,2,585,387,179,19,0,28323,5824,133534
Mercer County,New Jersey,30,157344,94353.0,40711,18454,8734,9940,3583,24346,16448,4791,2774,333,15313,9898,3718,1345,352,3772,2703,703,366,0,101963,27788,92697
Middlesex County,New Jersey,30,272762,293352.0,103212,58406,20705,14776,9325,92095,66869,17632,6595,999,58093,40971,12658,4043,421,15526,11631,2864,786,245,226236,59417,105206
Monmouth County,New Jersey,30,318396,85119.0,29422,16435,7671,4255,1061,28326,20445,5267,2095,519,11460,7776,2617,941,126,3952,3104,559,289,0,153862,29719,118527
Morris County,New Jersey,30,228289,98403.0,37759,21369,7870,6606,1914,26935,21133,4148,1368,286,18274,13301,3478,1316,179,2766,2301,379,86,0,125191,24624,130808
Ocean County,New Jersey,30,292603,49602.0,21880,12782,4788,3142,1168,13967,10892,2339,697,39,4041,2595,997,387,62,6530,5197,991,310,32,161366,29453,82379
Passaic County,New Jersey,30,149412,168809.0,123375,59273,19744,21315,23043,25980,17050,5482,2794,654,8539,5757,1746,969,67,11207,7410,2062,1462,273,134072,27944,84465
Salem County,New Jersey,30,35554,2118.0,2316,1405,480,321,110,448,294,135,15,4,279,51,219,9,0,46,42,4,0,0,14662,2965,73378
Somerset County,New Jersey,30,135976,92631.0,28478,14440,7024,4625,2389,26692,21272,4093,1163,164,20286,14839,4219,1083,145,3717,3068,441,208,0,83757,15649,131948
Sussex County,New Jersey,30,80154,11743.0,5807,4004,1032,478,293,3021,2403,527,91,0,972,626,266,80,0,492,385,78,29,0,31634,6389,111094
Union County,New Jersey,30,180917,180816.0,110272,48618,20329,24653,16672,44859,29726,9730,4337,1066,10760,7778,2050,652,280,7933,5817,1471,473,172,143350,28253,95000
Warren County,New Jersey,30,57773,10812.0,5149,2987,1023,828,311,3233,2530,644,59,0,904,508,274,122,0,918,677,221,20,0,24763,5693,92620
Bernalillo County,New Mexico,31,300566,68876.0,91690,64150,13818,9004,4718,6837,5703,998,136,0,8152,5005,1627,1298,222,9874,8890,828,126,30,164385,38356,62220
Catron County,New Mexico,31,1405,111.0,208,186,22,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,537,131,44777
Chaves County,New Mexico,31,24255,6920.0,12946,9116,2010,1320,500,225,163,62,0,0,447,330,49,68,0,168,158,10,0,0,16563,3238,49673
Cibola County,New Mexico,31,9024,820.0,3546,2889,205,362,90,97,89,0,8,0,79,70,9,0,0,3400,3105,268,27,0,6280,944,49866
Colfax County,New Mexico,31,5526,549.0,1053,774,222,46,11,90,8,82,0,0,24,18,6,0,0,101,87,14,0,0,2134,474,46286
Curry County,New Mexico,31,21468,4063.0,7325,5095,629,518,1083,190,190,0,0,0,318,280,38,0,0,42,34,8,0,0,13077,2364,55427
De Baca County,New Mexico,31,510,5.0,395,393,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,201,7,34702
Doña Ana County,New Mexico,31,66777,34235.0,61410,40493,9962,5148,5807,1237,838,283,116,0,1265,856,367,42,0,1391,834,548,9,0,67119,20716,51232
Eddy County,New Mexico,31,26843,3837.0,9160,6447,1373,1123,217,61,37,12,12,0,144,85,59,0,0,74,62,12,0,0,14996,1875,77458
Grant County,New Mexico,31,11008,1126.0,3486,2993,252,152,89,140,140,0,0,0,74,55,10,9,0,48,48,0,0,0,5529,1116,44895
Guadalupe County,New Mexico,31,1465,351.0,1151,734,220,90,107,5,5,0,0,0,0,0,0,0,0,114,114,0,0,0,822,35,38713
Harding County,New Mexico,31,255,23.0,104,93,0,11,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,155,39,39489
Hidalgo County,New Mexico,31,1504,311.0,824,646,87,45,46,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,743,43,53651
Lea County,New Mexico,31,22521,12953.0,19729,11878,3352,2832,1667,562,495,55,4,8,81,63,10,8,0,280,223,44,13,0,20178,2933,65855
Lincoln County,New Mexico,31,8855,852.0,1618,1335,106,157,20,34,34,0,0,0,63,40,0,23,0,229,229,0,0,0,3207,593,47919
Los Alamos County,New Mexico,31,9631,1834.0,1019,904,91,24,0,332,263,57,12,0,676,424,238,0,14,28,6,22,0,0,4870,744,135801
Luna County,New Mexico,31,5946,3987.0,7324,5152,416,785,971,8,8,0,0,0,93,64,29,0,0,23,23,0,0,0,5411,448,38241
McKinley County,New Mexico,31,17692,2068.0,2263,1847,120,296,0,86,47,14,25,0,491,238,231,22,0,22161,18601,3181,364,15,19521,2541,44029
Mora County,New Mexico,31,1058,68.0,1099,1068,31,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,660,64,40231
Otero County,New Mexico,31,30654,6504.0,8821,5463,1123,951,1284,231,145,53,19,14,466,342,57,41,26,1028,908,92,19,9,15734,3123,50833
Quay County,New Mexico,31,3574,159.0,967,815,84,68,0,0,0,0,0,0,0,0,0,0,0,62,62,0,0,0,2037,319,38998
Rio Arriba County,New Mexico,31,8890,2221.0,11525,10032,996,321,176,65,64,0,1,0,172,128,30,14,0,2258,1851,383,24,0,9041,1513,52031
Roosevelt County,New Mexico,31,8412,1627.0,3099,2559,135,303,102,53,40,4,2,7,70,57,4,9,0,46,46,0,0,0,5699,1998,52644
Sandoval County,New Mexico,31,64225,8205.0,14164,10485,2341,1161,177,620,508,93,19,0,861,525,324,12,0,7816,5839,1725,223,29,36798,7429,76424
San Juan County,New Mexico,31,47734,3199.0,6734,4403,1841,438,52,247,181,66,0,0,506,322,108,76,0,16088,9563,5997,515,13,30306,5132,50734
San Miguel County,New Mexico,31,7854,893.0,7966,7091,554,272,49,111,105,6,0,0,69,69,0,0,0,371,283,45,43,0,6419,2280,43490
Santa Fe County,New Mexico,31,57248,18677.0,26599,18088,4049,2724,1738,1747,1567,137,43,0,1064,770,119,175,0,1337,1229,53,54,1,29686,6004,70522
Sierra County,New Mexico,31,4269,482.0,1163,987,63,70,43,19,13,0,6,0,65,48,17,0,0,15,15,0,0,0,1524,104,35256
Socorro County,New Mexico,31,5397,904.0,2869,2163,572,94,40,234,220,14,0,0,113,100,13,0,0,964,755,191,18,0,4367,1487,40699
Taos County,New Mexico,31,11746,1795.0,6246,4939,729,514,64,113,101,12,0,0,189,169,0,20,0,766,756,10,0,0,6805,961,55145
Torrance County,New Mexico,31,6677,856.0,1869,1583,86,156,44,123,123,0,0,0,18,18,0,0,0,2,2,0,0,0,3349,538,50727
Union County,New Mexico,31,1845,100.0,433,343,61,29,0,4,4,0,0,0,0,0,0,0,0,24,2,22,0,0,784,123,41714
Valencia County,New Mexico,31,32544,5709.0,10895,8471,1009,1144,271,211,101,104,6,0,209,168,19,8,14,1086,929,157,0,0,18324,3029,56246
Albany County,New York,32,172178,35961.0,7341,5157,1514,623,47,11266,7618,2559,970,119,8780,4907,2300,1301,272,3237,2317,622,298,0,81541,25828,78829
Allegany County,New York,32,27435,821.0,367,290,60,17,0,587,465,95,27,0,268,152,94,14,8,172,50,101,21,0,13570,5566,58725
Bronx County,New York,32,352731,489783.0,435292,234677,77266,82347,41002,50273,27121,15005,6818,1329,12013,6996,2547,1919,551,45365,28686,12304,3678,697,393844,89626,47036
Broome County,New York,32,108052,15084.0,3039,2148,394,317,180,5296,3947,873,339,137,4018,2113,1258,439,208,927,610,177,140,0,53359,19184,58317
Cattaraugus County,New York,32,42511,1206.0,598,376,141,47,34,1331,1033,274,21,3,105,62,28,15,0,226,191,4,31,0,17378,3353,56889
Cayuga County,New York,32,44237,1775.0,1081,774,193,67,47,518,324,144,46,4,227,80,89,58,0,26,15,3,8,0,15155,2594,63227
Chautauqua County,New York,32,68242,3096.0,4243,2341,888,763,251,2146,1673,388,84,1,302,93,77,122,10,140,35,105,0,0,27215,6233,54625
Chemung County,New York,32,47107,2920.0,1030,737,142,124,27,655,449,183,23,0,673,322,230,94,27,154,141,13,0,0,17536,2911,61358
Chenango County,New York,32,26228,1052.0,571,393,153,21,4,381,326,44,11,0,176,63,84,27,2,25,25,0,0,0,9065,1127,61741
Clinton County,New York,32,47748,3885.0,1356,1058,180,49,69,1402,1183,168,51,0,468,389,70,0,9,296,262,34,0,0,18079,5795,67097
Columbia County,New York,32,32921,4105.0,1296,705,309,141,141,1475,970,331,174,0,325,202,11,81,31,125,115,3,7,0,10203,1568,81741
Cortland County,New York,32,28585,1141.0,411,390,9,9,3,755,447,254,54,0,273,187,51,35,0,174,131,43,0,0,13014,5794,65029
Delaware County,New York,32,24395,1847.0,946,777,95,74,0,534,480,42,10,2,169,136,8,10,15,108,5,0,57,46,9025,2776,58338
Dutchess County,New York,32,157067,33016.0,17498,10590,3596,2557,755,6997,5628,853,464,52,3412,2125,913,299,75,1918,1591,306,21,0,68574,20119,94578
Erie County,New York,32,515445,70049.0,21660,14302,3383,3079,896,23143,13974,5827,2887,455,12696,6382,3302,2492,520,11256,6485,2893,1378,500,218535,51703,68014
Essex County,New York,32,20380,1517.0,712,429,162,96,25,962,718,202,14,28,63,54,0,9,0,18,18,0,0,0,6542,1326,68090
Franklin County,New York,32,26925,1848.0,747,406,281,53,7,626,531,94,1,0,134,80,39,15,0,627,519,101,4,3,9688,1864,60270
Fulton County,New York,32,31026,1081.0,546,428,71,47,0,186,144,42,0,0,146,92,39,15,0,5,5,0,0,0,10433,1682,60557
Genesee County,New York,32,33764,1517.0,828,531,213,51,33,283,225,37,21,0,173,84,30,14,45,3,0,0,3,0,11325,1852,68178
Greene County,New York,32,26930,2682.0,1078,824,170,64,20,967,614,220,104,29,178,80,73,25,0,4,4,0,0,0,7616,1333,70294
Hamilton County,New York,32,2729,87.0,36,27,8,0,1,31,21,10,0,0,0,0,0,0,0,0,0,0,0,0,714,151,66891
Herkimer County,New York,32,32946,1532.0,577,442,123,12,0,1174,852,210,112,0,386,243,79,64,0,11,3,8,0,0,12313,2151,68104
Jefferson County,New York,32,65392,5533.0,3826,2733,854,183,56,2189,1416,713,60,0,886,476,338,72,0,542,470,72,0,0,27214,5456,62782
Kings County,New York,32,952399,945466.0,253485,142107,46833,45840,18705,275097,160184,76257,32771,5885,148993,55184,32550,44653,16606,56698,37456,12522,5349,1371,650230,130095,74692
Lewis County,New York,32,14913,295.0,162,123,6,16,17,199,163,36,0,0,38,18,14,6,0,37,37,0,0,0,5606,774,64401
Livingston County,New York,32,36227,1874.0,1153,734,246,86,87,693,639,44,10,0,409,227,172,10,0,740,324,416,0,0,15540,6122,70443
Madison County,New York,32,40173,1951.0,593,492,51,35,15,921,598,322,1,0,364,253,100,11,0,221,96,70,55,0,17472,7075,68869
Monroe County,New York,32,399955,62376.0,31481,20600,5739,3822,1320,18452,12363,3528,2051,510,11079,5681,2791,2322,285,4973,2508,1874,488,103,181746,45056,71450
Montgomery County,New York,32,25383,1547.0,2377,1471,409,265,232,918,669,209,40,0,144,76,24,44,0,76,39,0,37,0,10563,1628,58033
Nassau County,New York,32,571046,316531.0,122075,66438,26582,23289,5766,85981,65864,14531,4637,949,49950,29287,13727,5851,1085,11914,9851,1485,571,7,341782,72347,137709
New York County,New York,32,702550,462627.0,225129,143798,32946,31632,16753,90858,77575,10159,2502,622,86137,51528,18081,11486,5042,21262,15966,3671,1329,296,324295,86875,99880
Niagara County,New York,32,121234,8374.0,2622,1870,560,142,50,2803,1874,530,399,0,730,426,114,141,49,860,636,50,133,41,43913,8992,65882
Oneida County,New York,32,117374,20123.0,5771,3801,1160,620,190,7720,4761,1618,1101,240,5227,2209,1279,1148,591,1446,875,310,240,21,53377,11842,66402
Onondaga County,New York,32,255470,37354.0,9593,6810,1579,1023,181,10171,6569,2177,1199,226,8334,3708,2888,1429,309,5373,2636,1648,852,237,118491,30536,71479
Ontario County,New York,32,62036,4413.0,2236,1510,417,228,81,1890,1489,358,43,0,323,155,125,34,9,292,103,112,77,0,25197,6295,76603
Orange County,New York,32,174862,49076.0,37706,25350,6539,4730,1087,23746,14025,6789,2629,303,4123,2538,883,630,72,2088,1572,365,130,21,110860,23130,91806
Orleans County,New York,32,23176,1170.0,1139,713,67,270,89,469,344,115,10,0,224,102,109,13,0,107,95,12,0,0,7404,1051,61069
Oswego County,New York,32,70406,2430.0,1262,1083,82,71,26,979,761,162,56,0,531,339,157,35,0,257,207,21,29,0,27375,7351,65054
Otsego County,New York,32,35260,2289.0,952,763,99,72,18,1060,759,251,50,0,459,228,178,53,0,175,110,44,21,0,15176,7174,65778
Putnam County,New York,32,47447,13815.0,7952,5803,1446,633,70,3918,3200,608,86,24,1104,533,400,171,0,563,404,48,111,0,22220,4677,120970
Queens County,New York,32,644349,1112847.0,368105,174329,81429,82026,30321,232207,136319,61173,28705,6010,226703,90873,63183,57225,15422,30197,21082,6680,2198,237,532177,124738,82431
Rensselaer County,New York,32,93181,9200.0,2878,2135,503,164,76,2427,1979,350,56,42,2276,1313,636,253,74,1196,804,191,91,110,37524,10506,83734
Richmond County,New York,32,190447,122426.0,34249,23154,6230,4035,830,41560,27298,10463,3252,547,24930,9639,6709,6613,1969,13239,10190,2326,506,217,120420,25793,96185
Rockland County,New York,32,105642,69800.0,30769,16029,7668,5329,1743,38934,23535,11560,3643,196,7975,5267,2074,538,96,4085,3275,625,152,33,98948,16253,106173
St. Lawrence County,New York,32,62427,3958.0,1148,917,146,62,23,2963,2182,664,100,17,618,414,152,26,26,253,155,71,27,0,28531,10727,58339
Saratoga County,New York,32,135194,13119.0,2425,1522,580,278,45,4836,3581,975,228,52,2746,1866,730,143,7,571,441,98,32,0,49860,9850,97038
Schenectady County,New York,32,88374,16034.0,4023,2854,773,305,91,2940,2049,513,312,66,1575,1112,358,99,6,606,417,131,42,16,36468,8453,75056
Schoharie County,New York,32,16816,927.0,321,297,11,13,0,608,521,65,18,4,63,56,7,0,0,38,23,13,0,2,6218,2010,71479
Schuyler County,New York,32,10215,326.0,157,36,93,25,3,132,101,22,6,3,47,18,6,23,0,0,0,0,0,0,3183,421,61316
Seneca County,New York,32,18709,795.0,513,354,113,24,22,793,558,200,35,0,74,33,21,11,9,31,25,6,0,0,6361,945,64050
Steuben County,New York,32,51779,3075.0,656,430,158,68,0,1449,1077,311,55,6,804,598,132,74,0,160,78,33,49,0,18535,2260,62506
Suffolk County,New York,32,707609,243555.0,149441,81676,33052,26793,7920,57162,41023,12008,3464,667,22701,13540,6277,2438,446,7520,5558,1761,201,0,363936,81518,122498
Sullivan County,New York,32,37699,8276.0,5584,3362,1327,656,239,3017,1738,925,300,54,600,349,202,45,4,408,367,34,7,0,15997,2549,67841
Tioga County,New York,32,27577,973.0,234,142,44,48,0,362,319,33,0,10,212,93,71,24,24,35,35,0,0,0,9831,1702,70427
Tompkins County,New York,32,58107,13296.0,2336,1969,241,125,1,4200,3568,495,137,0,6002,4261,1446,273,22,961,793,137,31,0,39567,20927,69995
Ulster County,New York,32,99305,14143.0,8141,5799,1226,921,195,3641,3029,512,57,43,1662,1149,385,110,18,609,459,150,0,0,37583,10212,77197
Warren County,New York,32,37360,2282.0,551,383,81,87,0,749,579,150,20,0,157,133,11,13,0,90,90,0,0,0,12229,2285,74531
Washington County,New York,32,35247,1742.0,935,660,83,183,9,870,555,303,3,9,252,141,40,56,15,202,157,0,45,0,11195,1666,68703
Wayne County,New York,32,51042,2404.0,1643,1003,386,122,132,972,614,229,129,0,296,188,84,24,0,74,55,9,10,0,18847,2638,71007
Westchester County,New York,32,382545,255236.0,138198,77437,30883,22864,7014,52021,40447,9144,2163,267,23322,15539,5346,2069,368,12791,10165,1805,703,118,248290,51157,114651
Wyoming County,New York,32,23688,883.0,652,378,96,75,103,137,129,3,5,0,154,122,14,18,0,14,14,0,0,0,7602,1107,65066
Yates County,New York,32,11399,390.0,359,215,127,10,7,2057,1674,383,0,0,152,152,0,0,0,0,0,0,0,0,4914,1184,63974
Alamance County,North Carolina,33,89331,14503.0,12342,6137,2486,2139,1580,1722,1277,419,26,0,983,553,354,76,0,512,420,45,47,0,42542,10919,60866
Alexander County,North Carolina,33,20461,927.0,1053,597,320,76,60,156,140,0,16,0,200,172,28,0,0,25,25,0,0,0,7511,1374,62764
Alleghany County,North Carolina,33,5617,484.0,479,272,70,119,18,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,1818,372,42115
Anson County,North Carolina,33,12444,731.0,710,422,179,48,61,84,70,13,1,0,182,90,92,0,0,3,3,0,0,0,4554,810,42000
Ashe County,North Carolina,33,14233,821.0,731,473,139,78,41,53,44,0,9,0,99,6,9,84,0,0,0,0,0,0,4540,669,49176
Avery County,North Carolina,33,10528,652.0,531,324,59,102,46,106,96,10,0,0,27,27,0,0,0,25,25,0,0,0,3153,1123,53513
Beaufort County,North Carolina,33,23192,1605.0,1739,1114,394,42,189,10,10,0,0,0,93,0,8,85,0,2,2,0,0,0,8021,1332,56081
Bertie County,North Carolina,33,10203,156.0,174,137,37,0,0,42,42,0,0,0,84,60,21,3,0,24,24,0,0,0,3091,461,41652
Bladen County,North Carolina,33,15744,724.0,1103,572,135,264,132,62,62,0,0,0,50,37,13,0,0,2,2,0,0,0,5880,747,40476
Brunswick County,North Carolina,33,69825,4455.0,2993,1651,925,359,58,546,487,59,0,0,268,109,137,22,0,117,40,63,14,0,20835,4352,71193
Buncombe County,North Carolina,33,150115,17295.0,9887,4387,1409,2925,1166,4067,2440,812,428,387,886,595,269,22,0,393,272,121,0,0,53423,11803,66531
Burke County,North Carolina,33,47659,4299.0,3048,1753,856,407,32,194,116,78,0,0,1663,1141,330,106,86,781,520,160,60,41,16708,3142,53732
Cabarrus County,North Carolina,33,119089,19873.0,11717,7304,2555,1586,272,3786,3003,756,27,0,3635,2658,768,195,14,906,854,26,26,0,58481,9579,83828
Caldwell County,North Carolina,33,45057,2404.0,2225,1284,558,267,116,340,253,64,20,3,287,263,24,0,0,84,19,19,0,46,15725,2441,52362
Camden County,North Carolina,33,6133,176.0,68,68,0,0,0,43,21,22,0,0,58,44,0,14,0,73,41,0,0,32,2617,454,79120
Carteret County,North Carolina,33,36606,2047.0,1431,951,374,100,6,566,528,30,0,8,318,221,50,47,0,89,78,11,0,0,12636,2137,66965
Caswell County,North Carolina,33,12813,643.0,584,209,128,117,130,85,85,0,0,0,145,139,6,0,0,0,0,0,0,0,4354,799,56999
Catawba County,North Carolina,33,82215,11063.0,9206,5003,2330,1615,258,1332,960,198,150,24,3689,2604,639,386,60,108,108,0,0,0,35061,6194,62070
Chatham County,North Carolina,33,35701,7617.0,5546,2619,1040,1043,844,794,647,134,13,0,512,329,39,37,107,197,141,56,0,0,15326,1971,84222
Cherokee County,North Carolina,33,14855,588.0,364,271,0,58,35,48,43,5,0,0,73,54,17,2,0,12,12,0,0,0,4607,562,49254
Chowan County,North Carolina,33,7316,308.0,156,51,0,77,28,62,62,0,0,0,7,0,7,0,0,34,0,34,0,0,2795,254,51188
Clay County,North Carolina,33,5512,450.0,160,129,0,31,0,17,17,0,0,0,91,30,61,0,0,0,0,0,0,0,1870,494,57065
Cleveland County,North Carolina,33,55953,2501.0,2100,1318,518,194,70,442,227,163,52,0,408,162,149,76,21,14,14,0,0,0,22317,4561,50723
Columbus County,North Carolina,33,28355,1234.0,1580,763,312,372,133,105,64,0,22,19,45,10,10,15,10,56,46,10,0,0,10558,1755,43206
Craven County,North Carolina,33,53450,4093.0,3735,2183,886,487,179,565,520,45,0,0,1257,464,259,481,53,118,42,49,27,0,22432,5041,61676
Cumberland County,North Carolina,33,181466,22593.0,18160,12860,2913,2105,282,4026,3147,652,177,50,4351,2584,1237,502,28,1831,1364,356,72,39,92079,23654,55551
Currituck County,North Carolina,33,16585,780.0,694,512,121,61,0,99,92,7,0,0,96,1,63,32,0,10,10,0,0,0,6678,1246,82793
Dare County,North Carolina,33,19575,1739.0,1690,1057,302,318,13,410,377,22,11,0,99,41,8,40,10,0,0,0,0,0,7176,1019,79742
Davidson County,North Carolina,33,91835,9196.0,7051,4244,1101,1194,512,1178,861,264,53,0,1302,656,305,288,53,115,95,20,0,0,35867,5523,58473
Davie County,North Carolina,33,22714,2243.0,1824,1207,271,312,34,195,195,0,0,0,63,49,0,14,0,2,2,0,0,0,9030,1340,69105
Duplin County,North Carolina,33,21174,6418.0,6219,2550,1390,1644,635,662,81,188,393,0,110,45,23,42,0,28,0,28,0,0,11878,2070,49376
Durham County,North Carolina,33,172999,47104.0,24242,9949,2833,4417,7043,6331,5580,551,172,28,7637,5374,1396,377,490,3870,2775,765,213,117,82179,19285,74927
Edgecombe County,North Carolina,33,26303,1489.0,1491,765,364,145,217,189,166,12,6,5,77,72,2,3,0,0,0,0,0,0,10303,1468,46370
Forsyth County,North Carolina,33,198321,34135.0,25175,12725,5620,4484,2346,4127,3097,647,347,36,4329,3146,936,108,139,1857,1361,166,192,138,97836,21564,61229
Franklin County,North Carolina,33,39204,3384.0,2899,1373,629,593,304,335,295,40,0,0,114,76,13,25,0,239,174,65,0,0,15307,2895,70493
Gaston County,North Carolina,33,127481,11804.0,9575,4887,2500,1522,666,1403,1091,274,38,0,1506,1003,262,241,0,436,345,23,68,0,50289,7771,62628
Gates County,North Carolina,33,5819,178.0,295,189,0,106,0,91,91,0,0,0,0,0,0,0,0,14,14,0,0,0,2061,243,55750
Graham County,North Carolina,33,4171,195.0,146,22,47,74,3,16,16,0,0,0,0,0,0,0,0,178,178,0,0,0,1591,227,46010
Granville County,North Carolina,33,34757,3276.0,2951,1404,704,542,301,165,165,0,0,0,284,271,0,13,0,178,97,54,27,0,13311,2780,68079
Greene County,North Carolina,33,10769,1495.0,2137,1110,562,325,140,68,68,0,0,0,35,30,5,0,0,132,105,0,27,0,4115,620,50320
Guilford County,North Carolina,33,285154,57810.0,22013,11970,4347,4175,1521,11207,7038,3413,722,34,11633,6056,3203,2061,313,7449,4432,2094,783,140,149420,45144,62880
Halifax County,North Carolina,33,26813,1179.0,789,397,323,68,1,106,77,19,10,0,165,101,29,9,26,170,140,30,0,0,9918,1537,41629
Harnett County,North Carolina,33,72259,8032.0,8261,5274,1327,1276,384,1184,1046,101,37,0,690,378,147,165,0,197,152,45,0,0,36635,8330,64992
Haywood County,North Carolina,33,33996,1492.0,1116,668,205,117,126,172,113,50,9,0,140,127,8,5,0,45,45,0,0,0,11446,2169,56596
Henderson County,North Carolina,33,57084,7899.0,5794,2802,1159,1472,361,642,480,119,19,24,628,274,190,164,0,258,138,120,0,0,22045,3633,65508
Hertford County,North Carolina,33,12581,879.0,534,252,179,51,52,92,80,12,0,0,93,55,27,6,5,41,41,0,0,0,4748,1527,46196
Hoke County,North Carolina,33,28724,2982.0,3028,1675,399,604,350,419,228,154,37,0,341,223,83,35,0,39,39,0,0,0,15117,3613,57141
Hyde County,North Carolina,33,2325,231.0,313,112,118,57,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,5,43724
