county,state,state_encoded,total_non_english_speakers_18_64,foreign_born_population,spanish_speakers_total,spanish_eng_very_well,spanish_eng_well,spanish_eng_not_well,spanish_eng_not_at_all,indo_euro_speakers_total,indo_euro_eng_very_well,indo_euro_eng_well,indo_euro_eng_not_well,indo_euro_eng_not_at_all,asian_pac_speakers_total,asian_pac_eng_very_well,asian_pac_eng_well,asian_pac_eng_not_well,asian_pac_eng_not_at_all,other_lang_speakers_total,other_lang_eng_very_well,other_lang_eng_well,other_lang_eng_not_well,other_lang_eng_not_at_all,total_enrolled_in_school,enrolled_college_or_grad_school,median_household_income_usd
Morgan County,Illinois,13,19073,366.0,511,438,72,1,0,125,97,28,0,0,75,72,3,0,0,50,41,9,0,0,6911,1579,61188
Moultrie County,Illinois,13,7149,127.0,94,52,42,0,0,876,742,130,4,0,7,7,0,0,0,0,0,0,0,0,3177,416,72833
Ogle County,Illinois,13,27855,1891.0,2080,1330,357,248,145,131,92,26,13,0,99,9,23,67,0,43,14,28,1,0,12318,1945,75782
Peoria County,Illinois,13,95696,11371.0,3747,2375,643,567,162,2410,2015,180,215,0,3259,2271,649,330,9,1057,812,141,75,29,44325,9136,63409
Perry County,Illinois,13,12129,294.0,551,451,88,12,0,141,87,54,0,0,20,1,10,9,0,0,0,0,0,0,4315,695,56338
Piatt County,Illinois,13,9377,114.0,189,130,35,24,0,74,74,0,0,0,6,0,3,3,0,0,0,0,0,0,3482,438,81151
Pike County,Illinois,13,8031,123.0,86,39,15,23,9,131,128,0,0,3,23,18,1,1,3,0,0,0,0,0,2988,328,55514
Pope County,Illinois,13,2173,36.0,52,37,15,0,0,11,8,0,3,0,0,0,0,0,0,0,0,0,0,0,698,148,57582
Pulaski County,Illinois,13,2926,38.0,7,1,6,0,0,3,3,0,0,0,6,6,0,0,0,4,0,0,4,0,1146,260,41038
Putnam County,Illinois,13,3025,103.0,122,95,25,2,0,36,36,0,0,0,8,8,0,0,0,0,0,0,0,0,1074,98,75726
Randolph County,Illinois,13,17425,645.0,447,267,115,55,10,73,73,0,0,0,96,95,1,0,0,38,2,21,6,9,5827,753,63860
Richland County,Illinois,13,8539,267.0,288,115,60,113,0,70,12,0,58,0,30,15,15,0,0,0,0,0,0,0,3412,514,61607
Rock Island County,Illinois,13,71332,11505.0,7037,4296,1709,789,243,2101,1120,699,282,0,1433,483,397,437,116,1391,520,599,241,31,33013,6472,64435
St. Clair County,Illinois,13,146673,8150.0,4173,2784,865,456,68,1756,1438,284,6,28,1392,700,450,205,37,1063,674,377,12,0,65483,12428,68915
Saline County,Illinois,13,13543,248.0,143,65,78,0,0,152,131,13,8,0,71,35,30,6,0,0,0,0,0,0,4454,696,51710
Sangamon County,Illinois,13,110972,5906.0,1905,1336,283,247,39,1935,1386,347,202,0,1377,876,451,50,0,502,418,62,22,0,44719,7531,71653
